"","id","record_code","format_version","submission_date","reporting_agency","release_agency","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","first_release_date_year","first_release_date_month","first_release_date_day","last_release_date_year","last_release_date_month","last_release_date_day"
"240","ef4aa2b0-bc88-4b8b-ba66-a0319c24095c","N","5.0","20260809","WDFW","WDFW","!04P00194658",NA,NA,NA,NA,NA,"1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.28,148,NA,NA,NA,NA,NA,"5000",183355,"0000",2208,NA,NA,NA,NA,NA,NA,2022,10,13,2022,10,27
"246","f3bd3251-c3f1-4cef-81e9-2bec55d3a3ed","N","5.0","20260809","WDFW","WDFW","!04P00194649",NA,NA,NA,NA,NA,"1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"FR",36.28,148,NA,NA,NA,NA,NA,"5000",168667,"0000",2031,NA,NA,NA,NA,NA,NA,2022,10,12,2022,10,12
"256","fa8596e4-521e-4452-955d-e113f0de006c","N","5.0","20260809","WDFW","WDFW","!04P00168752",NA,NA,NA,NA,NA,"1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.57,148,NA,NA,NA,NA,NA,"5000",92841,"0000",317,NA,NA,NA,NA,NA,NA,2021,2,3,2021,2,22
"25","1d2a659f-88f3-44a4-bd36-0c55331a8a83","T","5.0","20260809","WDFW","WDFW","637483","12",NA,NA,"O","04201900001005","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",41.23,149,NA,"0000",33193,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,"CWT ONLY",2019,10,1,2019,10,17
"55","36b49f44-8be6-40d4-86a7-ea8dba072c3d","T","5.0","20260809","WDFW","WDFW","637479","12",NA,NA,"O","04201900001005","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",41.23,149,NA,"5000",32798,"0000",199,"5000",198,NA,NA,NA,0.006,NA,2000,NA,"AD+",2019,10,1,2019,10,17
"69","469788d3-6c47-4caf-b6b1-dc247a5a4552","N","5.0","20260809","WDFW","WDFW","!04P00153901",NA,NA,NA,NA,NA,"1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,149,NA,NA,NA,NA,NA,"5000",179750,"0000",976,NA,NA,NA,NA,NA,"AD ONLY",2019,10,1,2019,10,17
"170","b5c488ba-708f-4bf1-bb35-79d45ead02da","N","5.0","20260809","WDFW","WDFW","!04P00133877",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.48,149,NA,NA,NA,NA,NA,"5000",153276,"0000",832,NA,NA,NA,NA,NA,NA,2018,10,17,2018,10,31
"199","c66e40ba-f3ec-4600-bf5b-afdd19c7ff8b","N","5.0","20260809","WDFW","WDFW","!04P00153895",NA,NA,NA,NA,NA,"1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,149,NA,NA,NA,NA,NA,"5000",175668,"0000",954,NA,NA,NA,NA,NA,"AD ONLY",2019,10,1,2019,10,17
"24","1bd739da-3ee7-4184-9b64-c319b83bc447","N","5.0","20260809","WDFW","WDFW","!04P00208621",NA,NA,NA,NA,NA,"1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.43,150,NA,NA,NA,NA,NA,"5000",199176,"0000",379,NA,NA,NA,NA,NA,NA,2023,10,4,2023,10,13
"41","2a4ac20b-d48b-4015-aed6-493812880659","N","5.0","20260809","WDFW","WDFW","!04P00194652",NA,NA,NA,NA,NA,"1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,150,NA,NA,NA,NA,NA,"5000",180370,"0000",2172,NA,NA,NA,NA,NA,NA,2022,10,13,2022,10,27
"44","2b62c545-8f35-465e-8e02-0ad532cd27f0","N","5.0","20260809","WDFW","WDFW","!04P00088055",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"FR",38.83,150,NA,NA,NA,NA,NA,"5000",142471,"0000",1279,NA,NA,NA,NA,NA,NA,2015,10,1,2015,10,1
"63","429d0cfa-892f-42aa-8d24-534707ec6243","N","5.0","20260809","WDFW","WDFW","!04P00183674",NA,NA,NA,NA,NA,"1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",37.61,150,NA,NA,NA,NA,NA,"5000",98572,"0000",585,NA,NA,NA,NA,NA,NA,2016,10,1,2016,10,31
"89","57377e96-75bb-4f9e-97a8-1f698d9dc75f","N","5.0","20260809","WDFW","WDFW","!04P00229560",NA,NA,NA,NA,NA,"1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",40.14,150,NA,NA,NA,NA,NA,"5000",185422,"0000",483,NA,NA,NA,NA,NA,NA,2025,10,1,2025,10,15
"92","5a5e39d9-115e-4a06-a530-15c572371005","N","5.0","20260809","WDFW","WDFW","!04P00220099",NA,NA,NA,NA,NA,"1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.43,150,NA,NA,NA,NA,NA,"5000",194448,"0000",938,NA,NA,NA,NA,NA,NA,2024,10,1,2024,10,14
"109","6def37c5-8cf2-401b-a211-7c109d3ffdcc","T","5.0","20260809","WDFW","WDFW","638531","12",NA,NA,"D","04202300001195","1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",38.44,150,NA,"0000",40407,NA,NA,"0000",553,NA,NA,NA,0.0135,NA,2068,NA,NA,2023,10,3,2023,10,25
"147","a277f451-ded8-403d-87c2-17603b7c5662","N","5.0","20260809","WDFW","WDFW","!04P00103072",NA,NA,NA,NA,NA,"1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",37.45,150,NA,NA,NA,NA,NA,"5000",95450,"0000",566,NA,NA,NA,NA,NA,NA,2016,10,1,2016,10,31
"213","d2a81dd7-90e5-4bd1-b5e0-d87009d15911","N","5.0","20260809","WDFW","WDFW","!04P00229554",NA,NA,NA,NA,NA,"1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.11,150,NA,NA,NA,NA,NA,"5000",188573,"0000",492,NA,NA,NA,NA,NA,NA,2025,10,1,2025,10,15
"215","d3437357-9085-4225-9d24-8c7b48f4c10b","N","5.0","20260809","WDFW","WDFW","!04P00220101",NA,NA,NA,NA,NA,"1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.44,150,NA,NA,NA,NA,NA,"5000",193264,"0000",932,NA,NA,NA,NA,NA,NA,2024,10,1,2024,10,14
"259","fc125996-9458-4f2d-98af-a2292623ca90","T","5.0","20260809","WDFW","WDFW","638532","12",NA,NA,"D","04202300001195","1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",38.43,150,NA,"5000",38976,"0000",569,"5000",491,"0000",8,NA,0.0153,NA,2092,NA,NA,2023,10,3,2023,10,25
"19","1359bff0-70ad-4c64-992e-c549cee305f4","T","5.0","20260809","WDFW","WDFW","639108","12",NA,NA,"D","04202500001309","1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",40.14,151,NA,"5000",36858,NA,NA,"5000",67,NA,NA,NA,0.0018,NA,2196,NA,NA,2025,10,1,2025,10,15
"35","24dc9084-7e2f-405c-b58e-656167150e3b","T","5.0","20260809","WDFW","WDFW","638658","12",NA,NA,"D","04202400001271","1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",38.76,151,NA,"0000",39467,NA,NA,NA,NA,NA,NA,NA,NA,NA,2092,NA,NA,2024,10,1,2024,10,14
"66","4347d404-527e-40b0-8363-3cc3d9116ca8","N","5.0","20260809","WDFW","WDFW","!04P00103075",NA,NA,NA,NA,NA,"1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",38.44,151,NA,NA,NA,NA,NA,"5000",92374,"0000",548,NA,NA,NA,NA,NA,NA,2016,10,1,2016,10,31
"107","6cca0765-8e6c-41c9-9ea1-e41bfa317dbd","T","5.0","20260809","WDFW","WDFW","639107","12",NA,NA,"D","04202500001309","1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",40.14,151,NA,"0000",36905,NA,NA,NA,NA,NA,NA,NA,NA,NA,2188,NA,NA,2025,10,1,2025,10,15
"108","6cfd4fc5-b2af-45d3-9c8e-d44caf5f3d61","N","5.0","20260809","WDFW","WDFW","!04P00133879",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.11,151,NA,NA,NA,NA,NA,"5000",159842,"0000",868,NA,NA,NA,NA,NA,NA,2018,10,17,2018,10,31
"133","8ea200e8-f4c6-477c-a1e1-a12e0c2be12b","N","5.0","20260809","WDFW","WDFW","!04P00229557",NA,NA,NA,NA,NA,"1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",40.14,151,NA,NA,NA,NA,NA,"5000",185074,"0000",482,NA,NA,NA,NA,NA,NA,2025,10,1,2025,10,15
"212","d1f4b1d9-5074-4382-96b7-83b7e347c443","N","5.0","20260809","WDFW","WDFW","!04P00088052",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"FR",38.57,151,NA,NA,NA,NA,NA,"5000",141798,"0000",1273,NA,NA,NA,NA,NA,NA,2015,10,1,2015,10,1
"226","da9eade3-efa1-46c5-b0b1-47bd61c8540d","N","5.0","20260809","WDFW","WDFW","!04P00220094",NA,NA,NA,NA,NA,"1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.76,151,NA,NA,NA,NA,NA,"5000",195097,"0000",941,NA,NA,NA,NA,NA,NA,2024,10,1,2024,10,14
"257","fba7c321-eeb3-45b8-8b8e-2bd0f3433642","T","5.0","20260809","WDFW","WDFW","638659","12",NA,NA,"D","04202400001271","1","1",2023,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",38.76,151,NA,"5000",39321,NA,NA,"5000",146,NA,NA,NA,0.0037,NA,2176,NA,NA,2024,10,1,2024,10,14
"2","006954d4-cbd4-4d50-9634-40ff70d916df","N","5.0","20260809","WDFW","WDFW","!04P00194654",NA,NA,NA,NA,NA,"1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",37.79,152,NA,NA,NA,NA,NA,"5000",195083,"0000",2349,NA,NA,NA,NA,NA,NA,2022,10,13,2022,10,27
"4","049fb8a0-a256-4d72-9669-7c14cb5676eb","T","5.0","20260809","WDFW","WDFW","638210","12",NA,NA,"D","04202200001149","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,152,NA,"0000",36065,NA,NA,"0000",76,NA,NA,NA,0.0021,NA,1924,NA,NA,2022,10,12,2022,10,27
"15","10fd9cd8-8d86-4d75-a2d6-572f46220a2d","T","5.0","20260809","WDFW","WDFW","638211","12",NA,NA,"D","04202200001149","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",37.79,152,NA,"5000",35878,"0000",433,"5000",72,NA,NA,NA,0.002,NA,2024,NA,NA,2022,10,12,2022,10,27
"61","41ad214d-8149-4a24-82a2-47d3a0280626","T","5.0","20260809","WDFW","WDFW","637391","12",NA,NA,"D","04201800000985","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",38.76,152,NA,"5000",37494,"0000",239,"5000",68,NA,NA,NA,0.0018,NA,2248,NA,NA,2018,10,17,2018,10,31
"83","549cc23f-43db-4915-b2c2-635fff315552","N","5.0","20260809","WDFW","WDFW","!04P00022283",NA,NA,NA,NA,NA,"1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",39.1,152,NA,NA,NA,NA,NA,"5000",73924,"0000",215,NA,NA,NA,NA,NA,NA,2014,3,3,2014,3,7
"120","7ae8601f-0412-4119-ab29-0c4f4de76576","T","5.0","20260809","WDFW","WDFW","636564","13",NA,NA,"D","04201400000084","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",39.1,152,NA,"5000",41989,"0000",122,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,2014,3,3,2014,3,7
"125","88cffda1-7345-4884-8f0e-37005d5bee37","N","5.0","20260809","WDFW","WDFW","!04P00133878",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",38.76,152,NA,NA,NA,NA,NA,"5000",159865,"0000",868,NA,NA,NA,NA,NA,NA,2018,10,17,2018,10,31
"137","935ce046-c593-450f-96f2-8e50fb95e460","T","5.0","20260809","WDFW","WDFW","636567","13",NA,NA,"D","04201400000084","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",39.1,152,NA,"0000",42172,NA,NA,"0000",254,NA,NA,NA,0.006,NA,1000,NA,NA,2014,3,3,2014,3,7
"157","afcf04d7-5fb2-4fcc-96c2-0ebd48652801","N","5.0","20260809","WDFW","WDFW","!04P00047065",NA,NA,NA,NA,NA,"1","1",2004,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,NA,46.28,152,NA,NA,NA,NA,NA,"5000",306673,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,21,2006,3,21
"254","f952bd7e-0094-43cd-8775-909c3b8bd3ff","T","5.0","20260809","WDFW","WDFW","637392","12",NA,NA,"D","04201800000985","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",38.76,152,NA,"0000",37909,NA,NA,"0000",72,NA,NA,NA,0.0019,NA,2108,NA,NA,2018,10,17,2018,10,31
"255","f9e31366-0d46-49f5-8602-58566233141a","N","5.0","20260809","WDFW","WDFW","!04P00078575",NA,NA,NA,NA,NA,"1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",38.11,152,NA,NA,NA,NA,NA,"5000",93976,"0000",273,NA,NA,NA,NA,NA,NA,2014,3,3,2014,3,7
"20","175e094f-d594-4678-bce1-b2f4f19d8838","N","5.0","20260809","WDFW","WDFW","!04P00104236",NA,NA,NA,NA,NA,"1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",38.4,153,NA,NA,NA,NA,NA,"5000",93507,"0000",555,NA,NA,NA,NA,NA,NA,2016,10,1,2016,10,31
"54","368f74f9-b15d-46b5-8f53-247459337cb2","T","5.0","20260809","WDFW","WDFW","634243","0",NA,NA,NA,NA,"1","1",1990,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S","S","H","B",NA,50.39,153,"N","5000",52496,NA,NA,"0000",137134,"5000",370,"B",NA,24,2123,NA,NA,1992,3,12,1992,3,16
"135","92aa792a-5ac6-4f66-a174-f946ff9ba542","N","5.0","20260809","WDFW","WDFW","!04P00088049",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"FR",39.75,153,NA,NA,NA,NA,NA,"5000",143496,"0000",1289,NA,NA,NA,NA,NA,NA,2015,10,1,2015,10,1
"148","a3b5a69f-9f9e-4f6a-94ff-2a6cc9b1bc5d","N","5.0","20260809","WDFW","WDFW","!04P00104235",NA,NA,NA,NA,NA,"1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",38.4,153,NA,NA,NA,NA,NA,"0000",1256,NA,NA,NA,NA,NA,NA,NA,NA,2016,10,1,2016,10,31
"164","b3a0fb74-b2e2-446d-8318-f88168539512","T","5.0","20260809","WDFW","WDFW","637027","13",NA,NA,"D","04201600000888","1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",38.43,153,NA,"0000",61567,NA,NA,NA,NA,NA,NA,NA,NA,NA,2208,NA,NA,2016,10,1,2016,10,31
"245","f3346d9c-c877-4475-9bc2-bcd0584bffed","T","5.0","20260809","WDFW","WDFW","637028","13",NA,NA,"D","04201600000888","1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",38.43,153,NA,"5000",61056,"0000",266,"5000",245,NA,NA,NA,0.004,NA,1979,NA,NA,2016,10,1,2016,10,31
"38","28b0a05d-de9f-4c6f-8977-c19de2f1f061","N","5.0","20260809","WDFW","WDFW","!04P00046647",NA,NA,NA,NA,NA,"1","1",2001,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,NA,50.39,154,NA,NA,NA,NA,NA,"5000",249536,"0000",15928,NA,NA,NA,NA,NA,NA,2003,3,6,2003,3,13
"79","4d57078f-9c10-4bc9-aac0-6227dcedfcf6","T","5.0","20260809","WDFW","WDFW","636615","12",NA,NA,"D","04201500000784","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",39.44,154,NA,"5000",47192,"0000",67,"5000",86,NA,NA,NA,0.0018,NA,2188,NA,NA,2015,2,3,2015,2,6
"82","5424ca1c-e072-4f88-9ee6-950e9c836608","N","5.0","20260809","WDFW","WDFW","!04P00088046",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"FR",40.46,154,NA,NA,NA,NA,NA,"5000",142205,"0000",1277,NA,NA,NA,NA,NA,NA,2015,10,1,2015,10,1
"105","6512f284-9fea-4cee-9300-8acb3c7a1fc6","T","5.0","20260809","WDFW","WDFW","636777","12",NA,NA,"D","04201500000826","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S",NA,"H","P","FR",40.46,154,NA,"5000",72530,"0000",652,"5000",132,NA,NA,NA,0.0019,NA,3754,NA,NA,2015,8,3,2015,10,1
"118","7989dbce-1045-4a99-bf1d-ccfd5cd9d13a","N","5.0","20260809","WDFW","WDFW","!04P00092947",NA,NA,NA,NA,NA,"1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",39.44,154,NA,NA,NA,NA,NA,"5000",96742,"0000",136,NA,NA,NA,NA,NA,NA,2015,2,3,2015,2,6
"220","d8113228-3634-48e9-8683-76574d0c6ab5","T","5.0","20260809","WDFW","WDFW","636616","12",NA,NA,"D","04201500000784","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",39.44,154,NA,"0000",47136,NA,NA,"0000",208,NA,NA,NA,0.0053,NA,2244,NA,NA,2015,2,3,2015,2,6
"224","d97bebaa-48a1-4665-8170-afd4bc8c26ab","T","5.0","20260809","WDFW","WDFW","636778","12",NA,NA,"D","04201500000826","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S",NA,"H","P","FR",40.46,154,NA,"0000",72782,NA,NA,"0000",532,NA,NA,NA,0.0073,NA,3862,NA,NA,2015,8,3,2015,10,1
"181","b9be8d2a-0b70-4fdc-be4f-c6b5a70770b0","N","5.0","20260809","WDFW","WDFW","!04P00053067",NA,NA,NA,NA,NA,"1","1",1996,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",49.84,155,NA,NA,NA,NA,NA,"0000",407437,NA,NA,NA,NA,NA,NA,NA,"VOLITIONAL RELEASE.",1998,3,22,1998,3,22
"186","bc48e284-cb9a-44c1-bb72-9ae3ee691843","N","5.0","20260809","WDFW","WDFW","!04P00006807",NA,NA,NA,NA,NA,"1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",41.23,155,NA,NA,NA,NA,NA,"5000",86800,"0000",252,NA,NA,NA,NA,NA,NA,2014,2,3,2014,2,10
"216","d3725bc8-fa64-4fba-bd89-8cf25641d41d","N","5.0","20260809","WDFW","WDFW","!04P00004973",NA,NA,NA,NA,NA,"1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",41.23,155,NA,NA,NA,NA,NA,"5000",101989,"0000",297,NA,NA,NA,NA,NA,NA,2014,2,3,2014,2,10
"13","0e7c4b9d-9c26-40fb-8270-ab3c23e50cfe","N","5.0","20260809","WDFW","WDFW","!04P00115027",NA,NA,NA,NA,NA,"1","1",2016,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",44.03,156,NA,NA,NA,NA,NA,"5000",41035,"0000",99,NA,NA,NA,NA,NA,NA,2017,10,5,2017,10,25
"22","192405fc-20f8-4433-8aa7-1058c10f2f6a","T","5.0","20260809","WDFW","WDFW","636565","13",NA,NA,"D","04201400000085","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",39.78,157,NA,"5000",44301,"0000",129,"5000",93,NA,NA,NA,0.0021,NA,964,NA,NA,2014,2,3,2014,2,10
"45","2cae1121-76d6-4df0-a9f6-c197532cb493","T","5.0","20260809","WDFW","WDFW","637124","12",NA,NA,"D","04201700000920","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",41.61,157,NA,"0000",47929,NA,NA,"0000",96,NA,NA,NA,0.002,NA,500,NA,NA,2017,10,5,2017,10,25
"122","80bd703b-25aa-4223-9129-6e9f0e000bd8","T","5.0","20260809","WDFW","WDFW","637123","12",NA,NA,"D","04201700000920","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",41.61,157,NA,"5000",47814,"0000",115,"5000",96,NA,NA,NA,0.002,NA,500,NA,NA,2017,10,5,2017,10,25
"124","888e6dcd-14a4-42be-8f03-2fd03384367d","T","5.0","20260809","WDFW","WDFW","639102","12",NA,NA,"D","04202600001307","1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",48.77,157,NA,"0000",34553,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,NA,NA,2026,2,2,2026,2,11
"134","8fcb3027-e9f8-4830-8f08-bc9cb6187077","N","5.0","20260809","WDFW","WDFW","!04P00115030",NA,NA,NA,NA,NA,"1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",41.61,157,NA,NA,NA,NA,NA,"5000",39902,"0000",96,NA,NA,NA,NA,NA,NA,2017,10,5,2017,10,25
"160","b180cf29-a707-4d50-b9c9-daa0790b1e4b","N","5.0","20260809","WDFW","WDFW","!04P00007931",NA,NA,NA,NA,NA,"1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",39.78,157,NA,NA,NA,NA,NA,"5000",99911,"0000",291,NA,NA,NA,NA,NA,NA,2014,2,3,2014,2,10
"168","b52fcea3-a17c-4bcc-8b1f-c0a642ef1d7c","T","5.0","20260809","WDFW","WDFW","636568","13",NA,NA,"D","04201400000085","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H","P","VO",39.78,157,NA,"0000",43892,NA,NA,"0000",88,NA,NA,NA,0.002,NA,984,NA,NA,2014,2,3,2014,2,10
"198","c59e6ed0-2137-4570-9cb8-9eefddd5e044","T","5.0","20260809","WDFW","WDFW","637389","12",NA,NA,"D","04201900000988","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",41.23,157,NA,"5000",37261,"0000",75,"5000",75,NA,NA,NA,0.002,NA,504,NA,"AD+",2019,2,1,2019,2,19
"218","d4816546-fb82-498c-a9b6-11492e536784","T","5.0","20260809","WDFW","WDFW","639103","12",NA,NA,"D","04202600001307","1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",48.77,157,NA,"5000",34899,"0000",63,NA,NA,NA,NA,NA,NA,NA,549,NA,NA,2026,2,2,2026,2,11
"219","d63d00a8-7ba2-432d-a0d2-79097b95aaee","T","5.0","20260809","WDFW","WDFW","637390","12",NA,NA,"D","04201900000988","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",41.23,157,NA,"0000",37261,NA,NA,"0000",150,NA,NA,NA,0.004,NA,252,NA,"CWT ONLY",2019,2,1,2019,2,19
"228","e20789b1-17b1-4a8a-816d-1fdfe154d1e1","N","5.0","20260809","WDFW","WDFW","!04P00230917",NA,NA,NA,NA,NA,"1","1",2024,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",48.77,157,NA,NA,NA,NA,NA,"5000",28757,"0000",46,NA,NA,NA,NA,NA,NA,2026,2,2,2026,2,11
"236","ed85ec2b-0a06-40f8-9219-b44b04b0030a","N","5.0","20260809","WDFW","WDFW","!04P00012400",NA,NA,NA,NA,NA,"1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S","Y","H",NA,"VO",39.78,157,NA,NA,NA,NA,NA,"5000",82610,"0000",240,NA,NA,NA,NA,NA,NA,2014,2,3,2014,2,10
"253","f8a746c7-8551-475d-85a6-60ac7fbd54e2","N","5.0","20260809","WDFW","WDFW","!04P00136092",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",41.23,157,NA,NA,NA,NA,NA,"5000",83190,"0000",511,NA,NA,NA,NA,NA,"AD ONLY",2019,2,1,2019,2,19
"32","21b66c95-401f-4ce6-a151-61b466455ddc","T","5.0","20260809","WDFW","WDFW","637834","12",NA,NA,"D","04202200001107","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",47.24,158,NA,"5000",36909,"0000",74,"5000",74,NA,NA,NA,0.002,NA,500,NA,NA,2022,2,2,2022,2,16
